date_time,median
2015-01-25,11.0
2015-01-26,11.0
2015-01-27,14.0
2015-01-28,16.0
2015-01-29,17.0
2015-01-30,23.0
2015-01-31,11.0
2015-02-01,10.0
2015-02-02,9.0
2015-02-03,9.0
2015-02-04,9.0
2015-02-05,8.0
2015-02-06,9.0
2015-02-07,13.0
2015-02-08,12.5
2015-02-09,14.0
2015-02-10,21.0
2015-02-11,14.0
2015-02-12,15.0
2015-02-13,18.0
2015-02-14,17.0
2015-02-15,12.5
2015-02-16,12.0
2015-02-17,13.0
2015-02-18,14.0
2015-02-19,14.0
2015-02-20,16.0
2015-02-21,17.0
2015-02-22,19.0
2015-02-23,21.0
2015-02-24,21.0
2015-02-25,16.5
2015-02-26,14.0
2015-02-27,10.0
2015-02-28,11.5
2015-03-01,15.0
2015-03-02,10.0
2015-03-03,7.0
2015-03-04,11.0
2015-03-05,14.0
2015-03-06,16.0
2015-03-07,14.0
2015-03-08,14.0
2015-03-09,9.0
2015-03-10,11.0
2015-03-11,11.0
2015-03-12,13.0
2015-03-13,15.0
2015-03-14,12.0
2015-03-15,11.0
2015-03-16,11.0
2015-03-17,8.0
2015-03-18,9.0
2015-03-19,10.0
2015-03-20,9.0
2015-03-21,11.0
2015-03-22,10.0
2015-03-23,9.0
2015-03-24,7.0
2015-03-25,8.0
2015-03-26,8.5
2015-03-27,12.0
2015-03-28,12.0
2015-03-29,11.0
2015-03-30,11.0
2015-03-31,8.0
2015-04-01,8.0
2015-04-02,7.0
2015-04-03,7.0
2015-04-04,14.0
2015-04-05,11.0
2015-04-06,9.0
2015-04-07,7.0
2015-04-08,5.0
2015-04-09,5.5
2015-04-10,6.0
2015-04-11,9.5
2015-04-12,9.0
2015-04-13,7.0
2015-04-14,4.0
2015-04-15,4.0
2015-04-16,5.0
2015-04-17,2.0
2015-04-18,2.0
2015-04-19,3.0
2015-04-20,3.0
2015-04-21,3.0
2015-04-22,4.0
2015-04-23,6.0
2015-04-24,7.0
2015-04-25,11.0
2015-04-26,11.5
2015-04-27,9.0
2015-04-28,7.0
2015-04-29,5.0
2015-04-30,4.0
2015-05-01,5.0
2015-05-02,8.0
2015-05-03,6.5
2015-05-04,4.0
2015-05-05,6.0
2015-05-06,7.5
2015-05-07,9.0
2015-05-08,9.0
2015-05-09,11.0
2015-05-10,9.5
2015-05-11,8.0
2015-05-12,7.0
2015-05-13,10.0
2015-05-14,9.0
2015-05-15,8.0
2015-05-16,8.0
2015-05-17,8.0
2015-05-18,8.0
2015-05-19,7.0
2015-05-20,7.0
2015-05-21,10.0
2015-05-22,14.0
2015-05-23,25.0
2015-05-24,19.0
2015-05-25,16.0
2015-05-26,14.0
2015-05-27,16.0
2015-05-28,17.0
2015-05-29,11.0
2015-05-30,11.0
2015-05-31,12.0
2015-06-01,8.0
2015-06-02,9.0
2015-06-03,7.5
2015-06-04,7.0
2015-06-05,7.0
2015-06-06,6.0
2015-06-07,4.0
2015-06-08,4.0
2015-06-09,6.0
2015-06-10,6.0
2015-06-11,8.0
2015-06-12,8.0
2015-06-13,8.5
2015-06-14,8.0
2015-06-15,8.0
2015-06-16,8.0
2015-06-17,12.0
2015-06-18,9.0
2015-06-19,10.0
2015-06-20,13.0
2015-06-21,13.0
2015-06-22,6.0
2015-06-23,5.0
2015-06-24,5.0
2015-06-25,7.0
2015-06-26,8.0
2015-06-27,7.0
2015-06-28,7.0
2015-06-29,7.0
2015-06-30,7.0
2015-07-01,10.0
2015-07-02,7.0
2015-07-03,11.0
2015-07-04,11.0
2015-07-05,9.0
2015-07-06,6.5
2015-07-07,10.0
2015-07-08,6.0
2015-07-09,10.5
2015-07-10,9.5
2015-07-11,8.0
2015-07-12,8.0
2015-07-13,8.0
2015-07-14,9.0
2015-07-15,7.0
2015-07-16,4.0
2015-07-17,4.0
2015-07-18,6.0
2015-07-19,5.0
2015-07-20,5.0
2015-07-21,5.0
2015-07-22,4.0
2015-07-23,4.0
2015-07-24,3.0
2015-07-25,4.0
2015-07-26,4.0
2015-07-27,4.0
2015-07-28,4.0
2015-07-29,5.0
2015-07-30,5.0
2015-07-31,5.0
2015-08-01,7.0
2015-08-02,8.0
2015-08-03,8.0
2015-08-04,10.0
2015-08-05,10.0
2015-08-06,9.0
2015-08-07,13.0
2015-08-08,15.0
2015-08-09,16.0
2015-08-10,14.5
2015-08-11,14.0
2015-08-12,16.0
2015-08-13,15.0
2015-08-14,14.0
2015-08-15,14.0
2015-08-16,15.0
2015-08-17,13.0
2015-08-18,11.0
2015-08-19,9.0
2015-08-20,10.0
2015-08-21,9.0
2015-08-22,14.0
2015-08-23,14.0
2015-08-24,13.0
2015-08-25,11.0
2015-08-26,11.0
2015-08-27,9.0
2015-08-28,11.0
2015-08-29,15.0
2015-08-30,12.0
2015-08-31,13.0
2015-09-01,12.0
2015-09-02,12.0
2015-09-03,8.5
2015-09-04,12.0
2015-09-05,11.0
2015-09-06,11.0
2015-09-07,11.0
2015-09-08,9.0
2015-09-09,7.0
2015-09-10,8.0
2015-09-11,7.0
2015-09-12,10.5
2015-09-13,12.0
2015-09-14,11.0
2015-09-15,11.0
2015-09-16,9.0
2015-09-17,11.0
2015-09-18,14.5
2015-09-19,11.0
2015-09-20,10.0
2015-09-21,8.0
2015-09-22,6.0
2015-09-23,7.0
2015-09-24,6.0
2015-09-25,9.0
2015-09-26,10.5
2015-09-27,10.0
2015-09-28,10.0
2015-09-29,11.0
2015-09-30,10.0
2015-10-01,11.0
2015-10-02,13.0
2015-10-03,13.0
2015-10-04,12.0
2015-10-05,11.0
2015-10-06,11.0
2015-10-07,13.0
2015-10-08,12.5
2015-10-09,14.0
2015-10-10,15.0
2015-10-11,17.0
2015-10-12,12.0
2015-10-13,8.0
2015-10-14,9.0
2015-10-15,13.0
2015-10-16,14.0
2015-10-17,13.0
2015-10-18,10.0
2015-10-19,9.0
2015-10-20,9.0
2015-10-21,12.0
2015-10-22,13.0
2015-10-23,13.0
2015-10-24,10.0
2015-10-25,10.5
2015-10-26,9.0
2015-10-27,8.0
2015-10-28,9.0
2015-10-29,11.0
2015-10-30,14.0
2015-10-31,13.0
2015-11-01,12.0
2015-11-02,9.0
2015-11-03,5.0
2015-11-04,6.0
2015-11-05,6.0
2015-11-06,6.0
2015-11-07,9.0
2015-11-08,10.0
2015-11-09,10.0
2015-11-10,8.0
2015-11-11,9.0
2015-11-12,10.0
2015-11-13,11.5
2015-11-14,12.0
2015-11-15,7.0
2015-11-16,8.0
2015-11-17,11.0
2015-11-18,9.0
2015-11-19,9.0
2015-11-20,8.0
2015-11-21,9.0
2015-11-22,11.0
2015-11-23,9.0
2015-11-24,10.0
2015-11-25,10.0
2015-11-26,12.0
2015-11-27,12.0
2015-11-28,12.0
2015-11-29,13.0
2015-11-30,7.0
2015-12-01,8.0
2015-12-02,6.5
2015-12-03,7.0
2015-12-04,9.0
2015-12-05,9.0
2015-12-06,10.0
2015-12-07,9.0
2015-12-08,8.0
2015-12-09,8.0
2015-12-10,7.0
2015-12-11,7.0
2015-12-12,7.5
2015-12-13,13.0
2015-12-14,12.0
2015-12-15,10.0
2015-12-16,8.0
2015-12-17,11.0
2015-12-18,14.0
2015-12-19,17.0
2015-12-20,18.0
2015-12-21,10.0
2015-12-22,12.5
2015-12-23,8.0
2015-12-24,8.0
2015-12-25,8.0
2015-12-26,17.0
2015-12-27,12.0
2015-12-28,12.0
2015-12-29,14.0
2015-12-30,13.0
2015-12-31,13.5
2016-01-01,11.0
2016-01-02,9.5
2016-01-03,4.0
2016-01-04,3.0
2016-01-05,6.0
2016-01-06,6.0
2016-01-07,6.0
2016-01-08,7.0
2016-01-09,7.0
2016-01-10,5.5
2016-01-11,5.0
2016-01-12,4.0
2016-01-13,5.5
2016-01-14,6.0
2016-01-15,7.0
2016-01-16,9.0
2016-01-17,6.0
2016-01-18,5.0
2016-01-19,5.0
2016-01-20,5.0
2016-01-21,8.0
2016-01-22,10.0
2016-01-23,11.0
2016-01-24,8.0
2016-01-25,4.0
2016-01-26,4.0
2016-01-27,5.0
2016-01-28,4.0
2016-01-29,5.0
2016-01-30,6.0
2016-01-31,6.0
2016-02-01,6.0
2016-02-02,5.0
2016-02-03,5.0
2016-02-04,5.0
2016-02-05,5.0
2016-02-06,5.0
2016-02-07,5.0
2016-02-08,6.0
2016-02-09,4.0
2016-02-10,4.0
2016-02-11,4.0
2016-02-12,4.0
2016-02-13,7.0
2016-02-14,7.0
2016-02-15,7.0
2016-02-16,4.0
2016-02-17,5.0
2016-02-18,5.0
2016-02-19,4.0
2016-02-20,7.0
2016-02-21,6.0
2016-02-22,5.5
2016-02-23,8.0
2016-02-24,9.0
2016-02-25,3.0
2016-02-26,4.0
2016-02-27,8.0
2016-02-28,6.5
2016-02-29,7.0
2016-03-01,8.0
2016-03-02,8.0
2016-03-03,9.0
2016-03-04,9.0
2016-03-05,12.0
2016-03-06,13.0
2016-03-07,10.5
2016-03-08,10.0
2016-03-09,10.0
2016-03-10,11.0
2016-03-11,11.0
2016-03-12,12.0
2016-03-13,8.0
2016-03-14,7.0
2016-03-15,8.0
2016-03-16,9.0
2016-03-17,7.0
2016-03-18,5.0
2016-03-19,4.0
2016-03-20,5.0
2016-03-21,4.0
2016-03-22,4.0
2016-03-23,4.0
2016-03-24,4.0
2016-03-25,4.0
2016-03-26,6.0
2016-03-27,5.0
2016-03-28,5.0
2016-03-29,6.0
2016-03-30,6.0
2016-03-31,6.0
2016-04-01,7.0
2016-04-02,13.0
2016-04-03,11.0
2016-04-04,11.0
2016-04-05,11.0
2016-04-06,10.5
2016-04-07,10.0
2016-04-08,11.5
2016-04-09,15.0
2016-04-10,16.0
2016-04-11,7.0
2016-04-12,5.0
2016-04-13,3.0
2016-04-14,2.0
2016-04-15,2.0
2016-04-16,3.0
2016-04-17,2.0
2016-04-18,2.0
2016-04-19,2.0
2016-04-20,1.0
2016-04-21,1.0
2016-04-22,2.0
2016-04-23,3.0
2016-04-24,4.0
2016-04-25,3.5
2016-04-26,5.0
2016-04-27,7.0
2016-04-28,8.0
2016-04-29,8.0
2016-04-30,7.0
2016-05-01,7.0
2016-05-02,6.0
2016-05-03,6.0
2016-05-04,7.0
2016-05-05,8.0
2016-05-06,9.0
2016-05-07,10.0
2016-05-08,9.0
2016-05-09,7.0
2016-05-10,8.0
2016-05-11,4.5
2016-05-12,4.0
2016-05-13,6.0
2016-05-14,9.0
2016-05-15,8.0
2016-05-16,8.0
2016-05-17,9.0
2016-05-18,9.5
2016-05-19,7.0
2016-05-20,3.0
2016-05-21,4.0
2016-05-22,3.0
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,2.0
2016-05-26,3.0
2016-05-27,3.0
2016-05-28,4.0
2016-05-29,4.0
2016-05-30,4.0
2016-05-31,3.0
2016-06-01,2.0
2016-06-02,4.0
2016-06-03,3.0
2016-06-04,4.0
2016-06-05,4.0
2016-06-06,6.0
2016-06-07,5.0
2016-06-08,5.0
2016-06-09,6.0
2016-06-10,7.0
2016-06-11,10.0
2016-06-12,10.0
2016-06-13,11.0
2016-06-14,10.0
2016-06-15,11.0
2016-06-16,15.0
2016-06-17,18.0
2016-06-18,12.0
2016-06-19,10.0
2016-06-20,11.0
2016-06-21,11.0
2016-06-22,11.0
2016-06-23,6.0
2016-06-24,4.0
2016-06-25,5.5
2016-06-26,4.0
2016-06-27,4.0
2016-06-28,5.0
2016-06-29,5.0
2016-06-30,6.0
2016-07-01,8.0
2016-07-02,11.0
2016-07-03,11.0
2016-07-04,10.0
2016-07-05,7.0
2016-07-06,8.0
2016-07-07,9.0
2016-07-08,10.0
2016-07-09,11.0
2016-07-10,8.0
2016-07-11,9.0
2016-07-12,9.0
2016-07-13,9.0
2016-07-14,7.0
2016-07-15,7.0
2016-07-16,3.0
2016-07-17,3.0
2016-07-18,3.0
2016-07-19,3.0
2016-07-20,3.0
2016-07-21,4.0
2016-07-22,4.0
2016-07-23,4.0
2016-07-24,4.0
2016-07-25,4.0
2016-07-26,4.0
2016-07-27,4.0
2016-07-28,5.0
2016-07-29,5.0
2016-07-30,6.0
2016-07-31,6.0
2016-08-01,5.0
2016-08-02,5.0
2016-08-03,5.0
2016-08-04,5.0
2016-08-05,7.0
2016-08-06,9.0
2016-08-07,9.0
2016-08-08,8.0
2016-08-09,9.0
2016-08-10,8.0
2016-08-11,9.0
2016-08-12,11.0
2016-08-13,11.0
2016-08-14,11.0
2016-08-15,7.0
2016-08-16,7.5
2016-08-17,9.0
2016-08-18,7.0
2016-08-19,6.0
2016-08-20,7.0
2016-08-21,7.0
2016-08-22,6.0
2016-08-23,7.0
2016-08-24,7.0
2016-08-25,7.0
2016-08-26,12.0
2016-08-27,12.0
2016-08-28,8.0
2016-08-29,8.0
2016-08-30,11.0
2016-08-31,10.0
2016-09-01,12.0
2016-09-02,15.0
2016-09-03,9.0
2016-09-04,9.0
2016-09-05,8.0
2016-09-06,7.0
2016-09-07,8.0
2016-09-08,4.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,2.0
2016-09-12,4.0
2016-09-13,3.0
2016-09-14,5.0
2016-09-15,3.0
2016-09-16,5.0
2016-09-17,5.0
2016-09-18,4.0
2016-09-19,5.0
2016-09-20,6.0
2016-09-21,3.0
2016-09-22,6.0
2016-09-23,7.0
2016-09-24,9.0
2016-09-25,6.0
2016-09-26,5.0
2016-09-27,5.0
2016-09-28,5.0
2016-09-29,9.0
2016-09-30,7.0
2016-10-01,7.0
2016-10-02,5.0
2016-10-03,4.0
2016-10-04,2.0
2016-10-05,2.0
2016-10-06,2.0
2016-10-07,3.0
2016-10-08,5.0
2016-10-09,7.0
2016-10-10,6.0
2016-10-11,6.0
2016-10-12,3.0
2016-10-13,4.0
2016-10-14,5.0
2016-10-15,6.0
2016-10-16,6.0
2016-10-17,5.0
2016-10-18,5.0
2016-10-19,5.0
2016-10-20,5.0
2016-10-21,7.0
2016-10-22,4.0
2016-10-23,5.0
2016-10-24,3.0
2016-10-25,4.0
2016-10-26,5.0
2016-10-27,7.0
2016-10-28,8.0
2016-10-29,6.0
2016-10-30,5.0
